"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Afghanistan","31","Area Harvested","2007","Ha","3400.00000","F "
"Afghanistan","31","Area Harvested","2006","Ha","8030.00000",""
"Afghanistan","31","Area Harvested","2005","Ha","5200.00000","F "
"Afghanistan","31","Area Harvested","2004","Ha","5200.00000","F "
"Afghanistan","31","Area Harvested","2003","Ha","7007.00000",""
"Afghanistan","31","Area Harvested","2002","Ha","5200.00000","F "
"Afghanistan","31","Area Harvested","2001","Ha","5200.00000","F "
"Afghanistan","31","Area Harvested","2000","Ha","5150.00000","F "
"Afghanistan","31","Area Harvested","1999","Ha","5150.00000","F "
"Afghanistan","31","Area Harvested","1998","Ha","5150.00000","F "
"Afghanistan","31","Area Harvested","1997","Ha","5150.00000","F "
"Afghanistan","31","Area Harvested","1996","Ha","5150.00000","F "
"Afghanistan","31","Area Harvested","1995","Ha","5150.00000","F "
"Afghanistan","31","Area Harvested","1994","Ha","5100.00000","F "
"Afghanistan","31","Area Harvested","1993","Ha","5100.00000","F "
"Afghanistan","31","Area Harvested","1992","Ha","5060.00000","F "
"Afghanistan","31","Area Harvested","1991","Ha","5060.00000","F "
"Afghanistan","31","Area Harvested","1990","Ha","5060.00000","F "
"Afghanistan","31","Area Harvested","1989","Ha","5060.00000","F "
"Afghanistan","31","Area Harvested","1988","Ha","5050.00000","F "
"Afghanistan","31","Area Harvested","1987","Ha","4830.00000","F "
"Afghanistan","31","Area Harvested","1986","Ha","5610.00000","F "
"Afghanistan","31","Area Harvested","1985","Ha","5750.00000","F "
"Afghanistan","31","Area Harvested","1984","Ha","5920.00000","F "
"Afghanistan","31","Area Harvested","1983","Ha","6170.00000","F "
"Afghanistan","31","Area Harvested","1982","Ha","6410.00000","F "
"Afghanistan","31","Area Harvested","1981","Ha","6680.00000","F "
"Afghanistan","31","Area Harvested","1980","Ha","6820.00000","F "
"Afghanistan","31","Area Harvested","1979","Ha","6810.00000","F "
"Afghanistan","31","Area Harvested","1978","Ha","7050.00000","F "
"Afghanistan","31","Area Harvested","1977","Ha","7100.00000","F "
"Afghanistan","31","Area Harvested","1976","Ha","7080.00000","F "
"Afghanistan","31","Area Harvested","1975","Ha","7080.00000","F "
"Afghanistan","31","Area Harvested","1974","Ha","7070.00000","F "
"Afghanistan","31","Area Harvested","1973","Ha","6950.00000","F "
"Afghanistan","31","Area Harvested","1972","Ha","6810.00000","F "
"Afghanistan","31","Area Harvested","1971","Ha","6630.00000","F "
"Afghanistan","31","Area Harvested","1970","Ha","6630.00000","F "
"Afghanistan","31","Area Harvested","1969","Ha","6590.00000","F "
"Afghanistan","31","Area Harvested","1968","Ha","6480.00000","F "
"Afghanistan","31","Area Harvested","1967","Ha","6620.00000","F "
"Afghanistan","31","Area Harvested","1966","Ha","5930.00000","F "
"Afghanistan","31","Area Harvested","1965","Ha","5370.00000","F "
"Afghanistan","31","Area Harvested","1964","Ha","5100.00000","F "
"Afghanistan","31","Area Harvested","1963","Ha","4820.00000","F "
"Afghanistan","31","Area Harvested","1962","Ha","4820.00000","F "
"Afghanistan","31","Area Harvested","1961","Ha","4820.00000","F "
"Afghanistan","41","Yield","2007","Hg/Ha","72891.00000","Fc"
"Afghanistan","41","Yield","2006","Hg/Ha","26920.00000","Fc"
"Afghanistan","41","Yield","2005","Hg/Ha","73076.00000","Fc"
"Afghanistan","41","Yield","2004","Hg/Ha","73076.00000","Fc"
"Afghanistan","41","Yield","2003","Hg/Ha","54231.00000","Fc"
"Afghanistan","41","Yield","2002","Hg/Ha","73076.00000","Fc"
"Afghanistan","41","Yield","2001","Hg/Ha","73076.00000","Fc"
"Afghanistan","41","Yield","2000","Hg/Ha","72815.00000","Fc"
"Afghanistan","41","Yield","1999","Hg/Ha","72815.00000","Fc"
"Afghanistan","41","Yield","1998","Hg/Ha","72815.00000","Fc"
"Afghanistan","41","Yield","1997","Hg/Ha","72815.00000","Fc"
"Afghanistan","41","Yield","1996","Hg/Ha","72815.00000","Fc"
"Afghanistan","41","Yield","1995","Hg/Ha","72815.00000","Fc"
"Afghanistan","41","Yield","1994","Hg/Ha","72549.00000","Fc"
"Afghanistan","41","Yield","1993","Hg/Ha","72549.00000","Fc"
"Afghanistan","41","Yield","1992","Hg/Ha","72529.00000","Fc"
"Afghanistan","41","Yield","1991","Hg/Ha","71343.00000","Fc"
"Afghanistan","41","Yield","1990","Hg/Ha","71343.00000","Fc"
"Afghanistan","41","Yield","1989","Hg/Ha","71343.00000","Fc"
"Afghanistan","41","Yield","1988","Hg/Ha","71089.00000","Fc"
"Afghanistan","41","Yield","1987","Hg/Ha","73084.00000","Fc"
"Afghanistan","41","Yield","1986","Hg/Ha","73618.00000","Fc"
"Afghanistan","41","Yield","1985","Hg/Ha","70782.00000","Fc"
"Afghanistan","41","Yield","1984","Hg/Ha","71790.00000","Fc"
"Afghanistan","41","Yield","1983","Hg/Ha","71799.00000","Fc"
"Afghanistan","41","Yield","1982","Hg/Ha","70826.00000","Fc"
"Afghanistan","41","Yield","1981","Hg/Ha","70508.00000","Fc"
"Afghanistan","41","Yield","1980","Hg/Ha","69648.00000","Fc"
"Afghanistan","41","Yield","1979","Hg/Ha","67547.00000","Fc"
"Afghanistan","41","Yield","1978","Hg/Ha","68510.00000","Fc"
"Afghanistan","41","Yield","1977","Hg/Ha","46619.00000","Fc"
"Afghanistan","41","Yield","1976","Hg/Ha","78672.00000","Fc"
"Afghanistan","41","Yield","1975","Hg/Ha","84039.00000","Fc"
"Afghanistan","41","Yield","1974","Hg/Ha","83734.00000","Fc"
"Afghanistan","41","Yield","1973","Hg/Ha","84604.00000","Fc"
"Afghanistan","41","Yield","1972","Hg/Ha","82966.00000","Fc"
"Afghanistan","41","Yield","1971","Hg/Ha","68929.00000","Fc"
"Afghanistan","41","Yield","1970","Hg/Ha","87631.00000","Fc"
"Afghanistan","41","Yield","1969","Hg/Ha","91047.00000","Fc"
"Afghanistan","41","Yield","1968","Hg/Ha","91666.00000","Fc"
"Afghanistan","41","Yield","1967","Hg/Ha","88670.00000","Fc"
"Afghanistan","41","Yield","1966","Hg/Ha","81618.00000","Fc"
"Afghanistan","41","Yield","1965","Hg/Ha","80819.00000","Fc"
"Afghanistan","41","Yield","1964","Hg/Ha","76862.00000","Fc"
"Afghanistan","41","Yield","1963","Hg/Ha","66390.00000","Fc"
