,STATE,CITY
1,wa,seattle
11,tx,houston
12,ca,
15,ok,
18,nv,las vegas
22,mo,
26,il,chicago
27,ca,
32,tx,austin
34,dc,washington
37,tn,
38,ca,
41,ca,san francisco
51,ca,san francisco
55,tx,
65,dc,washington
66,ca,
69,il,chicago
74,ny,new york
75,hi,
79,va,
80,ca,
81,ca,
82,dc,washington
83,hi,
85,va,
87,nv,las vegas
89,tx,
90,ca,
92,fl,
95,tx,houston
98,ga,
102,il,chicago
108,ny,washington
117,mn,
119,tx,
121,ca,
122,mi,detroit
124,dc,washington
127,or,portland
130,va,
135,tx,
137,tx,dallas
143,ga,
144,ca,
145,ca,
146,ca,
147,ca,
148,ca,
150,ny,new york
152,ca,san francisco
154,nv,las vegas
158,tx,houston
159,tx,
160,mo,
165,mn,
166,il,chicago
167,nv,las vegas
168,nv,las vegas
170,la,los angeles
171,il,chicago
172,dc,washington
174,mi,
179,ca,san francisco
182,va,
189,mi,
191,hi,
195,ca,
196,ny,new york
203,tx,dallas
215,ca,san francisco
220,tx,austin
222,ca,san francisco
228,ga,
229,nj,
231,dc,washington
232,tx,
234,ca,san francisco
249,dc,washington
261,dc,washington
265,ca,
266,fl,
271,il,chicago
275,az,phoenix
279,ga,
288,ca,los angeles
293,pa,
294,il,chicago
295,tx,
296,ca,los angeles
299,ca,los angeles
301,tn,
303,ca,los angeles
305,la,los angeles
309,in,
316,ca,los angeles
318,ca,
319,nj,
322,va,
323,ca,san francisco
325,il,
327,ct,
329,ca,
350,tx,houston
352,ca,
364,tx,houston
368,tx,houston
370,fl,jacksonville
374,tx,houston
376,pa,philadelphia
388,tx,dallas
389,ny,new york
392,tx,
396,tx,houston
398,il,chicago
418,ny,new york
419,tx,houston
423,wi,
427,tx,dallas
429,ma,
431,tx,
432,oh,
435,tx,houston
439,ca,
442,tx,houston
443,ca,
445,co,
447,az,
450,fl,
453,ca,san diego
455,ca,
458,tx,houston
465,tx,houston
470,ma,
471,tx,houston
474,tx,houston
476,ca,
477,tx,houston
478,az,
481,tx,houston
485,ca,
486,ca,
487,ca,
488,ca,
489,ny,
490,nc,
492,tx,houston
495,tx,houston
501,wa,
507,tx,houston
513,ny,new york
519,wa,
522,tx,houston
523,tx,
528,wa,
529,tx,houston
532,fl,
533,fl,
534,fl,
537,ny,new york
540,tx,austin
541,tx,dallas
546,tx,
556,fl,
557,ca,
558,mi,
562,al,
563,co,
567,tx,houston
572,tx,
577,ny,new york
583,ca,san francisco
585,fl,
590,tx,
595,il,chicago
603,ca,san francisco
605,la,los angeles
612,ca,san francisco
615,ct,
616,dc,washington
618,fl,
619,fl,denver
622,co,
623,co,denver
628,ny,new york
632,ca,
635,ca,san francisco
638,ca,los angeles
639,co,
640,hi,
644,co,
648,il,chicago
650,dc,washington
656,tx,dallas
658,co,denver
659,tx,
665,ca,
666,hi,
667,tx,
689,nv,las vegas
696,tx,houston
697,mi,
699,il,chicago
702,wi,milwaukee
703,ny,
708,va,
710,nj,
721,ny,new york
722,ny,new york
723,ny,
729,tx,houston
740,sc,
742,tx,houston
743,tx,houston
748,nc,
751,tx,
752,tx,
753,ny,new york
758,tx,
762,tx,
763,tx,
764,tx,
765,tx,
768,ny,new york
770,tn,
771,ca,
772,ca,
773,ca,
774,ca,
775,ca,
786,tx,
809,in,indianapolis
829,az,
853,tn,
857,ga,
859,tn,
875,mi,
878,fl,
889,ny,
910,ca,los angeles
919,nv,las vegas
934,nv,las vegas
937,nj,
941,mn,
942,mn,
944,ca,san francisco
947,ca,san francisco
961,il,chicago
962,ca,
993,ca,
1000,ca,
1001,ca,
1002,ca,
1003,ca,
1004,ca,
1005,md,baltimore
1006,ny,new york
1027,ga,
1029,ca,
1031,il,chicago
1065,ny,new york
1071,ny,new york
1100,ny,new york
1113,nj,
1119,ca,
1124,il,chicago
1125,wi,
1128,fl,
1148,ca,
1151,ca,
1152,ca,
1153,ca,
1154,ca,
1155,ca,
1156,ca,los angeles
1157,ca,los angeles
1158,ca,san francisco
1165,ny,new york
1171,co,denver
1174,oh,columbus
1177,ca,los angeles
1178,ca,san jose
1180,dc,washington
1182,ny,new york
1183,ca,
1184,ma,boston
1185,dc,washington
1186,fl,
1187,pa,philadelphia
1192,ca,
1195,az,phoenix
1198,ca,
1199,ca,los angeles
1200,ca,
1204,ca,los angeles
1208,ca,
1215,ca,san francisco
1217,nv,seattle
1221,ca,san jose
1229,fl,
1230,la,los angeles
1231,tx,austin
1232,ca,
1233,ca,los angeles
1234,ga,
1235,ca,los angeles
1236,nm,
1237,ny,new york
1238,ca,los angeles
1239,ca,los angeles
1240,ca,
1252,ny,new york
1257,nc,
1260,mn,
1264,ny,new york
1266,nm,
1268,az,
1269,az,
1274,ca,los angeles
1277,de,
1281,va,
1288,tx,houston
1293,ny,new york
1296,la,los angeles
1301,wa,
1303,wi,
1304,ca,
1306,ca,san francisco
1307,az,phoenix
1308,tx,austin
1309,pa,philadelphia
1310,pa,philadelphia
1311,ny,new york
1312,ca,
1313,ca,los angeles
1319,va,
1321,ca,los angeles
1323,il,chicago
1324,ca,los angeles
1325,ca,
1326,ca,
1334,nv,las vegas
1338,ny,new york
1339,ca,san francisco
1340,ca,los angeles
1344,ca,
1348,sc,
1352,nv,
1361,ny,new york
1362,fl,
1367,ca,san francisco
1387,tn,
1388,ca,
1389,ca,
1390,ca,
1391,ca,
1393,ca,
1395,oh,
1397,il,chicago
1405,ca,los angeles
1407,co,denver
1408,co,
1427,co,
1435,fl,
1438,il,chicago
1440,ia,
1444,ny,
1446,tx,
1447,ca,san francisco
1448,ca,san francisco
1450,ma,
1462,ca,los angeles
1465,oh,
1466,nc,
1477,ut,
1479,il,chicago
1480,ny,new york
1482,fl,
1488,ca,
1490,ny,new york
1491,tx,austin
1493,nc,
1494,ny,new york
1500,ga,
1501,tx,houston
1502,ca,
1503,az,
1507,ny,new york
1511,ma,
1514,fl,
1516,ca,
1517,ca,san francisco
1523,il,
1524,il,
1525,wa,seattle
