,STATE,CITY
1,al,
5,ca,san jose
9,ca,
10,ca,los angeles
13,ny,new york
15,al,
19,il,chicago
20,ca,
23,ny,
24,tn,
27,il,chicago
32,fl,
33,hi,
36,fl,
37,tn,memphis
40,pa,philadelphia
41,wi,
42,ca,los angeles
47,pa,new york
53,ct,
55,ny,new york
59,az,
68,il,chicago
79,nv,las vegas
82,tx,austin
83,ky,
84,ma,
86,nc,
95,ny,new york
96,fl,
104,tn,
110,ga,
119,ny,
121,az,
122,fl,
123,oh,
125,ma,boston
149,ca,los angeles
152,ca,los angeles
160,co,denver
162,ca,
163,ca,
164,ca,
165,ca,
166,ca,
176,ny,new york
182,ca,san francisco
191,ny,new york
192,ny,new york
196,ca,san diego
198,la,los angeles
206,tx,
208,ca,
215,tx,san antonio
216,il,chicago
219,al,chicago
225,tx,fort worth
229,tx,austin
231,ma,
236,tx,houston
237,tx,houston
238,tx,houston
239,tx,houston
240,tx,houston
242,tx,houston
243,tx,houston
244,tx,houston
245,tx,houston
246,tx,
247,tx,houston
248,tx,houston
249,tx,houston
250,tx,houston
251,tx,houston
252,tx,houston
254,tx,houston
255,tx,houston
256,tx,
257,tx,houston
258,tx,houston
259,tx,houston
260,tx,houston
261,tx,houston
263,tx,houston
265,tx,houston
266,tx,houston
267,tx,houston
268,tx,houston
269,tx,houston
270,tx,houston
271,tx,houston
272,tx,houston
274,tx,austin
275,ny,new york
284,al,
290,ma,boston
294,ny,new york
296,tx,san antonio
300,nc,
303,nc,
327,mi,
330,nc,
341,tx,houston
345,ct,
356,ca,
366,ny,
367,ca,san francisco
376,ca,los angeles
381,tx,
382,ny,new york
384,co,denver
390,ca,san diego
398,wa,washington
399,ga,
400,tx,austin
409,ca,los angeles
410,fl,
413,il,chicago
414,ca,
419,ca,los angeles
423,ny,new york
424,ny,new york
426,pa,philadelphia
427,ca,san francisco
439,hi,
443,ca,los angeles
447,ky,
452,ca,
454,fl,
461,ny,new york
467,pa,philadelphia
470,pa,philadelphia
474,ny,new york
478,pa,philadelphia
479,ny,new york
482,ny,new york
483,pa,philadelphia
484,mi,
489,ny,new york
490,ny,new york
495,il,chicago
501,nv,las vegas
514,ny,new york
516,fl,
517,ca,san francisco
518,ri,
519,hi,
523,al,
524,ca,
526,fl,
527,ny,new york
529,ca,
530,ca,
533,ca,
540,ca,
542,tn,
543,ca,
545,tx,
546,al,
549,ca,
554,md,
557,il,chicago
564,il,chicago
565,fl,
569,ok,
570,ma,boston
575,oh,
581,mi,
582,tx,
583,al,
587,al,
593,tx,houston
596,ca,los angeles
597,ca,los angeles
601,tx,austin
602,ct,
611,pa,philadelphia
612,al,
615,ca,san francisco
619,ca,los angeles
620,nc,
636,ca,
639,ny,new york
640,ny,new york
649,pr,
651,fl,
652,ca,san francisco
653,fl,
661,fl,
662,al,
675,ca,
676,ca,
677,ca,
679,ca,
684,al,
689,co,denver
697,al,
706,pa,philadelphia
708,mn,
712,ca,
713,al,
714,tx,
727,pr,
730,fl,
732,ga,
737,ma,
744,il,chicago
746,fl,
748,tx,houston
753,al,
757,ny,
759,ny,new york
774,il,
782,nc,
789,ca,san francisco
798,al,
803,hi,
806,ca,san jose
807,il,chicago
808,nv,las vegas
818,ca,
824,ca,
828,nj,
830,al,
836,al,
839,tx,fort worth
841,ca,
843,ny,new york
844,nc,
845,ga,
847,tx,houston
850,nv,las vegas
851,ca,
855,nj,
857,wa,washington
871,ny,new york
874,ny,new york
878,pa,philadelphia
880,hi,
882,tx,
885,ny,new york
887,tx,austin
901,id,
903,al,
908,il,chicago
913,ny,new york
917,al,
930,ny,
931,ny,new york
939,tx,
941,il,chicago
955,tx,
958,ny,
988,ny,new york
990,al,
1018,fl,
1022,az,phoenix
1028,ca,san francisco
1033,mo,
1035,ca,
1036,nj,
1043,az,phoenix
1044,ny,
1047,az,phoenix
1048,az,phoenix
1049,az,phoenix
1051,az,phoenix
1052,az,phoenix
1054,az,phoenix
1056,nj,
1057,az,phoenix
1060,az,phoenix
1066,tx,
1072,or,portland
1075,al,
1076,co,denver
1082,ma,boston
1091,co,denver
1094,mi,
1099,co,denver
1100,co,denver
1101,co,denver
1103,co,denver
1105,co,denver
1106,co,denver
1109,il,chicago
1110,co,denver
1111,co,denver
1115,co,denver
1117,co,denver
1118,mn,
1124,nj,
1126,ca,los angeles
1129,ny,new york
1134,pa,philadelphia
1138,ca,
1140,ny,
1156,va,
1160,md,
1164,ny,new york
1170,tx,houston
1174,ny,new york
1180,ny,new york
1181,ny,
1187,fl,
1202,tx,dallas
1204,tx,dallas
1205,tx,dallas
1207,tx,dallas
1209,tx,dallas
1211,tx,dallas
1214,tx,dallas
1217,tx,dallas
1220,tx,dallas
1221,tx,dallas
1225,tx,dallas
1228,al,
1229,al,
1231,tx,dallas
1246,tx,dallas
1248,tx,austin
1249,tx,dallas
1250,ny,
1258,nj,
1259,fl,
1265,ny,new york
1281,fl,
1284,ny,new york
1294,ca,
1295,ca,
1296,ca,
1297,ca,
1298,ca,
1319,ny,new york
1321,ny,
1322,tx,
1333,ca,los angeles
1335,ca,los angeles
1349,az,phoenix
1351,az,phoenix
1352,az,phoenix
1355,ny,
1357,ny,
1358,az,phoenix
1359,az,phoenix
1364,az,phoenix
1366,az,phoenix
1368,az,phoenix
1371,az,phoenix
1372,az,phoenix
1374,in,
1375,az,phoenix
1378,az,phoenix
1380,az,phoenix
1386,az,phoenix
1389,az,phoenix
1392,az,phoenix
1395,va,
1408,co,
1444,ca,san diego
1476,tx,
1486,ny,new york
1510,mo,
1511,co,
1563,ny,new york
1565,pa,
1596,ny,new york
1598,fl,
1600,ca,
1606,ca,
1607,ny,
1608,ny,
1609,ny,
1610,ny,
1615,ny,
1617,ny,
1618,ny,
1619,ny,
1620,ca,
1621,ca,
1622,ca,
1623,ca,
1624,ca,
1625,ny,
1626,ny,
1628,ny,
1629,ny,
1631,ny,
1632,ny,
1634,ny,
1636,mn,
1640,ny,
1641,ny,
1646,ca,los angeles
1653,ut,
1669,oh,
1670,ny,
1675,ny,
1679,ny,
1681,ny,
1683,ca,san francisco
1685,ca,san francisco
1695,tn,memphis
1712,il,
1722,ca,
1725,sc,
1729,tx,
1731,tx,houston
1735,tx,houston
1753,ny,new york
1762,nv,las vegas
1767,ny,new york
1771,ca,san diego
1773,ca,
1779,il,chicago
1790,ga,
1793,ga,
1794,ny,new york
1796,wa,seattle
1812,ca,san diego
1813,ca,san diego
1820,wa,washington
1822,tn,
1826,ca,
1827,il,chicago
1832,ny,new york
1837,ca,
1838,ca,
1839,ca,
1840,ca,
1841,ca,
1842,ca,
1843,ca,san diego
1856,ca,san francisco
1863,ny,
1864,wa,seattle
1872,ca,san diego
1877,ca,
1884,nv,las vegas
1887,wa,washington
1889,ca,san francisco
1890,nc,
1892,co,
