,STATE,CITY,COUNTRY
1,al,,USA
5,ca,san jose,USA
9,ca,,USA
10,ca,los angeles,USA
13,ny,new york,USA
15,al,,USA
19,il,chicago,USA
20,ca,,USA
23,ny,,USA
24,tn,,USA
26,,,USA
27,il,chicago,USA
32,fl,,USA
33,hi,,USA
36,fl,,USA
37,tn,memphis,USA
40,pa,philadelphia,USA
41,wi,,USA
42,ca,los angeles,USA
45,,,USA
47,pa,new york,USA
53,ct,,USA
55,ny,new york,USA
59,az,,USA
60,,,USA
65,,,USA
68,il,chicago,USA
79,nv,las vegas,USA
82,tx,austin,USA
83,ky,,USA
84,ma,,USA
86,nc,,USA
95,ny,new york,USA
96,fl,,USA
104,tn,,USA
110,ga,,USA
119,ny,,USA
121,az,,USA
122,fl,,USA
123,oh,,USA
125,ma,boston,USA
149,ca,los angeles,USA
152,ca,los angeles,USA
160,co,denver,USA
162,ca,,USA
163,ca,,USA
164,ca,,USA
165,ca,,USA
166,ca,,USA
176,ny,new york,USA
179,,,USA
182,ca,san francisco,USA
183,,,USA
184,,,USA
188,,,USA
191,ny,new york,USA
192,ny,new york,USA
195,,,USA
196,ca,san diego,USA
197,,,USA
198,la,los angeles,USA
200,,,USA
206,tx,,USA
208,ca,,USA
215,tx,san antonio,USA
216,il,chicago,USA
219,al,chicago,USA
221,,,USA
225,tx,fort worth,USA
229,tx,austin,USA
231,ma,,USA
234,,,USA
236,tx,houston,USA
237,tx,houston,USA
238,tx,houston,USA
239,tx,houston,USA
240,tx,houston,USA
242,tx,houston,USA
243,tx,houston,USA
244,tx,houston,USA
245,tx,houston,USA
246,tx,,USA
247,tx,houston,USA
248,tx,houston,USA
249,tx,houston,USA
250,tx,houston,USA
251,tx,houston,USA
252,tx,houston,USA
254,tx,houston,USA
255,tx,houston,USA
256,tx,,USA
257,tx,houston,USA
258,tx,houston,USA
259,tx,houston,USA
260,tx,houston,USA
261,tx,houston,USA
263,tx,houston,USA
265,tx,houston,USA
266,tx,houston,USA
267,tx,houston,USA
268,tx,houston,USA
269,tx,houston,USA
270,tx,houston,USA
271,tx,houston,USA
272,tx,houston,USA
274,tx,austin,USA
275,ny,new york,USA
281,,,USA
284,al,,USA
290,ma,boston,USA
294,ny,new york,USA
296,tx,san antonio,USA
300,nc,,USA
303,nc,,USA
312,,,USA
321,,,USA
323,,,USA
327,mi,,USA
330,nc,,USA
335,,,USA
338,,,USA
340,,,USA
341,tx,houston,USA
345,ct,,USA
354,,,USA
355,,,USA
356,ca,,USA
366,ny,,USA
367,ca,san francisco,USA
376,ca,los angeles,USA
381,tx,,USA
382,ny,new york,USA
384,co,denver,USA
390,ca,san diego,USA
398,wa,washington,USA
399,ga,,USA
400,tx,austin,USA
409,ca,los angeles,USA
410,fl,,USA
413,il,chicago,USA
414,ca,,USA
419,ca,los angeles,USA
423,ny,new york,USA
424,ny,new york,USA
426,pa,philadelphia,USA
427,ca,san francisco,USA
428,,,USA
439,hi,,USA
443,ca,los angeles,USA
447,ky,,USA
452,ca,,USA
454,fl,,USA
461,ny,new york,USA
467,pa,philadelphia,USA
470,pa,philadelphia,USA
471,,,USA
474,ny,new york,USA
478,pa,philadelphia,USA
479,ny,new york,USA
482,ny,new york,USA
483,pa,philadelphia,USA
484,mi,,USA
489,ny,new york,USA
490,ny,new york,USA
495,il,chicago,USA
501,nv,las vegas,USA
502,,,USA
510,,,USA
514,ny,new york,USA
516,fl,,USA
517,ca,san francisco,USA
518,ri,,USA
519,hi,,USA
523,al,,USA
524,ca,,USA
526,fl,,USA
527,ny,new york,USA
529,ca,,USA
530,ca,,USA
533,ca,,USA
534,,,USA
540,ca,,USA
542,tn,,USA
543,ca,,USA
545,tx,,USA
546,al,,USA
549,ca,,USA
554,md,,USA
557,il,chicago,USA
564,il,chicago,USA
565,fl,,USA
566,,,USA
569,ok,,USA
570,ma,boston,USA
575,oh,,USA
581,mi,,USA
582,tx,,USA
583,al,,USA
587,al,,USA
593,tx,houston,USA
596,ca,los angeles,USA
597,ca,los angeles,USA
601,tx,austin,USA
602,ct,,USA
609,,,USA
611,pa,philadelphia,USA
612,al,,USA
615,ca,san francisco,USA
619,ca,los angeles,USA
620,nc,,USA
636,ca,,USA
639,ny,new york,USA
640,ny,new york,USA
645,,,USA
649,pr,,USA
651,fl,,USA
652,ca,san francisco,USA
653,fl,,USA
661,fl,,USA
662,al,,USA
675,ca,,USA
676,ca,,USA
677,ca,,USA
679,ca,,USA
684,al,,USA
689,co,denver,USA
697,al,,USA
699,,,USA
706,pa,philadelphia,USA
708,mn,,USA
712,ca,,USA
713,al,,USA
714,tx,,USA
727,pr,,USA
730,fl,,USA
732,ga,,USA
737,ma,,USA
744,il,chicago,USA
746,fl,,USA
748,tx,houston,USA
