,Abbrev,STATE
0,ma,massachusetts
1,wa,washington
2,ak,alaska
3,ky,kentucky
4,ga,georgia
5,dc,district of columbia
6,nv,nevada
7,ok,oklahoma
8,hi,hawaii
9,in,indiana
10,nd,north dakota
11,il,illinois
12,me,maine
13,pr,puerto rico
14,mi,michigan
15,pa,pennsylvania
16,al,alabama
17,fl,florida
18,sd,south dakota
19,gu,guam
20,co,colorado
21,nh,new hampshire
22,ny,new york
23,ar,arkansas
24,na,national
25,tn,tennessee
26,wy,wyoming
27,ms,mississippi
28,mn,minnesota
29,vi,virgin islands
30,as,american samoa
31,ca,california
32,id,idaho
33,ne,nebraska
34,nj,new jersey
35,az,arizona
36,sc,south carolina
37,ct,connecticut
38,oh,ohio
39,md,maryland
40,wi,wisconsin
41,tx,texas
42,ri,rhode island
43,va,virginia
44,mp,northern mariana islands
45,ia,iowa
46,ut,utah
47,de,delaware
48,wv,west virginia
49,mo,missouri
50,vt,vermont
51,la,louisiana
52,ks,kansas
53,or,oregon
54,nm,new mexico
55,nc,north carolina
56,mt,montana
