Date,Negative,Total
2016-01-25 00:00,3.0,46
2016-01-25 01:00,5.0,64
2016-01-25 02:00,4.0,44
2016-01-25 03:00,0.0,43
2016-01-25 04:00,2.0,28
2016-01-25 05:00,5.0,49
2016-01-25 06:00,1.0,58
2016-01-25 07:00,3.0,62
2016-01-25 08:00,5.0,78
2016-01-25 09:00,3.0,86
2016-01-25 10:00,10.0,88
2016-01-25 11:00,11.0,113
2016-01-25 12:00,7.0,108
2016-01-25 13:00,17.0,113
2016-01-25 14:00,11.0,109
2016-01-25 15:00,9.0,109
2016-01-25 16:00,14.0,92
2016-01-25 17:00,23.0,103
2016-01-25 18:00,9.0,70
2016-01-25 19:00,14.0,112
2016-01-25 20:00,13.0,92
2016-01-25 21:00,9.0,99
2016-01-25 22:00,8.0,75
2016-01-25 23:00,5.0,72
2016-01-26 00:00,4.0,58
2016-01-26 01:00,7.0,64
2016-01-26 02:00,6.0,46
2016-01-26 03:00,10.0,53
2016-01-26 04:00,14.0,53
2016-01-26 05:00,23.0,63
2016-01-26 06:00,16.0,63
2016-01-26 07:00,38.0,126
2016-01-26 08:00,50.0,135
2016-01-26 09:00,41.0,170
2016-01-26 10:00,59.0,143
2016-01-26 11:00,37.0,142
2016-01-26 12:00,30.0,150
2016-01-26 13:00,61.0,204
2016-01-26 14:00,55.0,239
2016-01-26 15:00,72.0,240
2016-01-26 16:00,79.0,203
2016-01-26 17:00,76.0,226
2016-01-26 18:00,54.0,182
2016-01-26 19:00,37.0,135
2016-01-26 20:00,54.0,187
2016-01-26 21:00,26.0,167
2016-01-26 22:00,35.0,130
2016-01-26 23:00,44.0,127
2016-01-27 00:00,37.0,98
2016-01-27 01:00,28.0,71
2016-01-27 02:00,14.0,66
2016-01-27 03:00,13.0,46
2016-01-27 04:00,12.0,54
2016-01-27 05:00,23.0,66
2016-01-27 06:00,19.0,87
2016-01-27 07:00,21.0,92
2016-01-27 08:00,44.0,130
2016-01-27 09:00,28.0,122
2016-01-27 10:00,29.0,112
2016-01-27 11:00,28.0,120
2016-01-27 12:00,26.0,140
2016-01-27 13:00,29.0,158
2016-01-27 14:00,19.0,144
2016-01-27 15:00,14.0,139
2016-01-27 16:00,18.0,196
2016-01-27 17:00,14.0,162
2016-01-27 18:00,19.0,135
2016-01-27 19:00,12.0,144
2016-01-27 20:00,14.0,106
2016-01-27 21:00,13.0,108
2016-01-27 22:00,12.0,111
2016-01-27 23:00,12.0,94
2016-01-28 00:00,8.0,53
2016-01-28 01:00,6.0,50
2016-01-28 02:00,5.0,43
2016-01-28 03:00,5.0,37
2016-01-28 04:00,6.0,42
2016-01-28 05:00,4.0,34
2016-01-28 06:00,7.0,49
2016-01-28 07:00,10.0,77
2016-01-28 08:00,13.0,126
2016-01-28 09:00,20.0,141
2016-01-28 10:00,13.0,142
2016-01-28 11:00,14.0,102
2016-01-28 12:00,12.0,111
2016-01-28 13:00,10.0,105
2016-01-28 14:00,7.0,86
2016-01-28 15:00,19.0,94
2016-01-28 16:00,15.0,113
2016-01-28 17:00,12.0,88
2016-01-28 18:00,14.0,97
2016-01-28 19:00,12.0,86
2016-01-28 20:00,11.0,93
2016-01-28 21:00,21.0,94
2016-01-28 22:00,5.0,82
2016-01-28 23:00,9.0,64
2016-01-29 00:00,4.0,42
2016-01-29 01:00,3.0,33
2016-01-29 02:00,5.0,44
2016-01-29 03:00,6.0,34
2016-01-29 04:00,4.0,33
2016-01-29 05:00,4.0,46
2016-01-29 06:00,9.0,48
2016-01-29 07:00,7.0,74
2016-01-29 08:00,7.0,87
2016-01-29 09:00,7.0,114
2016-01-29 10:00,3.0,102
2016-01-29 11:00,19.0,138
2016-01-29 12:00,13.0,133
2016-01-29 13:00,6.0,93
2016-01-29 14:00,14.0,112
2016-01-29 15:00,7.0,88
2016-01-29 16:00,7.0,88
2016-01-29 17:00,14.0,67
2016-01-29 18:00,10.0,74
2016-01-29 19:00,21.0,93
2016-01-29 20:00,14.0,79
2016-01-29 21:00,11.0,69
2016-01-29 22:00,8.0,62
2016-01-29 23:00,15.0,74
2016-01-30 00:00,6.0,42
2016-01-30 01:00,5.0,27
2016-01-30 02:00,7.0,30
2016-01-30 03:00,4.0,18
2016-01-30 04:00,1.0,17
2016-01-30 05:00,1.0,20
2016-01-30 06:00,0.0,7
2016-01-30 07:00,2.0,27
2016-01-30 08:00,11.0,43
2016-01-30 09:00,2.0,54
2016-01-30 10:00,10.0,62
2016-01-30 11:00,11.0,67
2016-01-30 12:00,8.0,57
2016-01-30 13:00,8.0,49
2016-01-30 14:00,8.0,92
2016-01-30 15:00,3.0,51
2016-01-30 16:00,12.0,87
2016-01-30 17:00,5.0,95
2016-01-30 18:00,8.0,68
2016-01-30 19:00,9.0,51
2016-01-30 20:00,7.0,65
2016-01-30 21:00,8.0,75
2016-01-30 22:00,20.0,72
2016-01-30 23:00,9.0,62
2016-01-31 00:00,8.0,36
2016-01-31 01:00,1.0,42
2016-01-31 02:00,8.0,32
2016-01-31 03:00,10.0,29
2016-01-31 04:00,6.0,44
2016-01-31 05:00,3.0,49
2016-01-31 06:00,3.0,35
2016-01-31 07:00,1.0,24
2016-01-31 08:00,5.0,48
2016-01-31 09:00,6.0,61
2016-01-31 10:00,5.0,57
2016-01-31 11:00,11.0,86
2016-01-31 12:00,11.0,82
2016-01-31 13:00,10.0,82
2016-01-31 14:00,17.0,97
2016-01-31 15:00,4.0,65
2016-01-31 16:00,8.0,52
2016-01-31 17:00,6.0,53
2016-01-31 18:00,18.0,76
2016-01-31 19:00,15.0,66
2016-01-31 20:00,19.0,70
2016-01-31 21:00,15.0,71
2016-01-31 22:00,10.0,63
2016-01-31 23:00,6.0,74
